,mission_range,cruise_speed,duration,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
0,10.0,72.00000000000075,0.13518518518518519,1023.9520874738774,3.0733522244946037,590.4276381389872,0.03781217472099134,0.10524312369136116,9.845693131115858,12.00000000000377,12.0000000000015,2.665190511599784e-07,600.0,71.51693396055829,121.81924504610598,170.76396752268278,59.85245719936202,104.00000018666317,85.3349666213976,85.32934062281247,84.55460284508973,84.55208945244974,84.55460284508973,12.157878773294907
1,20.0,189.83561937590423,0.18148148148148147,1058.8610420233215,3.125302094019607,412.53662459613037,0.07513113369038084,0.3893356330387072,9.845693131119113,11.999999994890523,12.000000000006432,2.3965365961227525e-06,600.0,98.1352181999196,126.5367824071966,172.26875483438803,61.92183465694336,107.54560678684952,88.51678707064885,88.23842016856283,84.55460284502026,84.81323503208135,84.55460284502026,16.68298709398633
2,30.0,141.07382441564855,0.22777777777777777,1095.0285591526924,3.1782294019301496,532.5736365233371,0.043495654131597505,0.22086952184845454,9.845693131115153,11.999999982473463,12.000000000000435,2.7999627793436253e-07,600.0,126.2525042874084,130.89799953757148,173.80684446866502,64.07174000579272,111.21904213042095,91.33954116473176,91.25237992938773,84.55460284510472,84.62727096058393,84.55460284510472,21.462925728859425
3,40.0,125.12121822101767,0.2740740740740741,1134.2569537377524,3.234657057739235,533.9068286891802,0.04177974943148635,0.1920056069206924,9.845693127441917,11.999999830169447,11.999999994436703,1.0960641795623165e-07,600.0,156.53578056046635,135.85804989817638,175.45247887971632,66.41031333079323,115.20336243025402,94.60681596047235,94.52141285530026,84.55460292351124,84.62290445529766,84.55460292351124,26.611082695279283
4,50.0,186.2695685641697,0.3203703703703704,1177.159548692683,3.295263765375345,407.4356495588561,0.069262511468782,0.3669661286083874,9.84569313106289,11.999999976721409,11.999999999921268,1.368777782249583e-07,600.0,189.45544006686893,141.50166427050308,177.22700232525128,68.97581200002911,119.56086108135722,98.37611901538497,98.0966290583672,84.55460284622036,84.78739883832168,84.55460284622036,32.207424811367716
5,60.0,186.9336397424365,0.36666666666666664,1222.6669973765547,3.358355087150003,398.2974056128652,0.0697805912924037,0.36964128977871463,9.845693138211818,11.999999812436432,12.000000010749512,1.9776708616357277e-06,600.0,224.60849817536234,147.27161519227695,179.0823441141162,71.70594619166035,124.18292752099893,102.18066530944692,101.88891635677489,84.55460269362406,84.78860419633087,84.55460269362406,38.1834446898116
6,70.0,183.43854438982498,0.412962962962963,1271.6664969326016,3.4249886197373445,403.09235759023994,0.06548992988804697,0.3515239439154124,9.845693131115432,11.999999990518388,12.000000000000854,1.2860223285593174e-07,600.0,262.5049892432136,153.45505992435122,181.05118614027094,74.65562023630062,129.15967215286676,106.25095726539503,105.97220807770925,84.5546028450988,84.76890606743632,84.5546028450988,44.625848171346306
7,80.0,182.5622158821121,0.45925925925925926,1324.7877492177558,3.4957847734615846,398.44457458853805,0.06433483557278166,0.34678379172444285,9.84567519345885,11.999983938800717,11.999972830443076,4.702002576505007e-05,600.0,303.5971758475017,160.17822997630535,183.15422809751226,77.86497241141038,134.55529693869062,110.68124188057246,110.39922905965786,84.55498573159376,84.76294989407423,84.55498573159376,51.61151989407529
8,90.0,179.61860744611934,0.5055555555555555,1382.428202491789,3.571032547007759,399.3507647488063,0.061361046614111237,0.3333062959076526,9.845693092579461,11.999999971171945,11.999999941631703,3.375638668761652e-07,600.0,348.2071782379652,167.45905319447334,185.40184972399123,81.36070233782652,140.40943481507693,115.47545983348417,115.20235076799618,84.55460366766225,84.74694968190099,84.55460366766225,59.19522030045408
9,100.0,176.40389893157524,0.5518518518518519,1445.2285406686933,3.6512433793271692,399.79317281307084,0.05855387895645489,0.31985561200393253,9.84569312639233,11.999999397775044,11.99999999284693,4.4583714920671236e-07,600.0,396.8399101037842,175.39126835384707,187.81316627940438,85.18486364203592,146.7878921388093,120.6986007408135,120.43571179418153,84.55460294591502,84.73106041627335,84.55460294591502,67.4627847176433
10,110.0,172.9757350212131,0.5981481481481481,1513.932202390227,3.7370226725230666,399.51080967932916,0.055965282473139935,0.3067140093420444,9.845693155184525,11.999998440351709,12.000000036457507,6.379043349505603e-07,600.0,450.0671810194157,184.0693240784546,190.40987328239598,89.38662269909614,153.76593384824548,126.4129082321352,126.16101648255923,84.55460233133584,84.71530796179177,84.55460233133584,76.51142077330067
11,120.0,168.90583233702523,0.6444444444444445,1589.390907075807,3.829022162223996,399.3292896472898,0.05334599714268088,0.2924930862580023,9.845693131114736,11.999997997196939,11.999999999999801,1.6783917570041775e-06,600.0,508.5547213589031,193.59834759450337,193.21630439770635,94.02282925229213,161.43006753409296,132.68701595814684,132.44924225631945,84.55460284511366,84.69827936019362,84.55460284511366,86.45430263101352
12,130.0,163.8530475956199,0.6907407407407407,1672.6394491415151,3.928020052118943,399.5237273070865,0.050630292254035356,0.2765191306866034,9.845693321943179,11.999996054916389,12.000000289041287,3.119800333903234e-06,600.0,573.1088385570577,204.1075869957295,196.2618716226016,99.1629182617794,169.88538993121892,139.60570981121046,139.386617404419,84.55459877181582,84.67937406479506,84.55459877181582,97.4285025546998
13,140.0,158.3415206262611,0.737037037037037,1764.9856674283938,4.034991998350982,398.68798305474746,0.04817236380832487,0.2607355084046963,9.845685256077912,12.000005792345734,11.999988071946362,2.8030780858976845e-05,600.0,644.7458483254102,215.7663397965879,199.58382751849683,104.89494619823986,179.2648882756878,147.28123480778808,147.08228515281502,84.55477094066785,84.6611695485741,84.55477094066785,109.60679421531972
14,150.0,142.29286519431258,0.7833333333333333,1867.4763471966196,4.1504973093102615,409.3077240305298,0.04317570480117873,0.22198481313242674,9.8456942933342,11.999994992867988,12.000001760374966,3.2206166176359775e-06,600.0,724.318035745499,228.6595185833138,203.20776266575587,111.29282480970105,189.67441924953442,155.758842138242,155.6230061034813,84.55457803714866,84.62023921210948,84.55457803714866,123.13406607673483
